Country,Year,Imports (millions USD),Exports (millions USD),Trade Balance (millions USD)
Norway,1995.0,32706.0,41740.0,9034.0
Norway,2005.0,55488.0,103759.0,48271.0
Norway,2010.0,77330.0,130657.0,53327.0
Norway,2015.0,76399.0,103785.0,27386.0
Norway,2020.0,81624.0,82749.0,1125.0
Norway,2021.0,99253.0,174514.0,75261.0
Norway,2022.0,107197.0,273734.0,166536.0
Sweden,1995.0,61647.0,77436.0,15790.0
Sweden,2005.0,111351.0,130264.0,18912.0
Sweden,2010.0,148788.0,158411.0,9622.0
Sweden,2015.0,138361.0,140001.0,1641.0
Sweden,2020.0,149436.0,154936.0,5499.0
Sweden,2021.0,187320.0,189635.0,2315.0
Sweden,2022.0,202093.0,197575.0,-4518.0
